"","type","number","type_label","Group"
"Lactobacillus","Lactobacillus","0.788331857922581","78.83%","four"
"Gardnerella","Gardnerella","0.1856969182","18.57%","four"
"Prevotella","Prevotella","0.00384594697419355","0.38%","four"
"Ureaplasma","Ureaplasma","0.00279688069032258","0.28%","four"
"Atopobium","Atopobium","0.0022355216516129","0.22%","four"
"Limosilactobacillus","Limosilactobacillus","0.00191778066451613","0.19%","four"
"Aerococcus","Aerococcus","0.00185923800645161","0.19%","four"
"Anaerococcus","Anaerococcus","0.0011401898","0.11%","four"
"Streptococcus","Streptococcus","0.00106464751612903","0.11%","four"
"Sneathia","Sneathia","0.000892325283870968","0.09%","four"
"Others","Others","0.0102186932903225","1.02%","four"
